,scores,centers
0,0.9995469450950623,[19.16800022 28.54100037 38.1760006 ]
1,0.9991376399993896,[17.16800022 24.54100037 12.1760006 ]
2,0.985552966594696,[43.16800022 32.54100037 20.1760006 ]
3,0.8784233331680298,[23.16800022 38.54100037 -3.8239994 ]
4,0.9515736699104309,[31.16800022 46.54100037 18.1760006 ]
5,0.8063529133796692,[11.16800022 36.54100037 24.1760006 ]
6,0.7871081233024597,[23.16800022 42.54100037 38.1760006 ]
7,0.4247061014175415,[49.16800022 32.54100037 48.1760006 ]
8,0.935575544834137,[19.16800022 24.54100037 54.1760006 ]
9,0.9770937561988831,[ 3.16800022 32.54100037  6.1760006 ]
